Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
404,Daishen Nix,SG,19,HOU,9,0,7.7,1.4,2.3,0.619,0.3,0.8,0.429,1.1,1.6,0.714,0.69,0.1,0.3,0.333,0.1,1,1.1,1.1,0.8,0,1,0.4,3.3
405,Zeke Nnaji,PF,21,DEN,39,1,16.7,2.4,4.5,0.54,0.9,1.9,0.487,1.5,2.6,0.58,0.645,1,1.6,0.613,1.4,2.3,3.7,0.4,0.3,0.3,0.5,1.9,6.8
406,Nerlens Noel,C,27,NYK,25,11,22.5,1.3,2.4,0.533,0,0.1,0,1.3,2.3,0.561,0.533,0.8,1.2,0.7,1.9,3.7,5.6,0.9,1.2,1.2,0.8,2.7,3.4
407,Jaylen Nowell,SG,22,MIN,46,1,14.8,3,6.4,0.474,0.9,2.4,0.385,2.1,4,0.527,0.546,1,1.3,0.746,0.3,1.6,1.9,2.1,0.5,0.1,0.5,1.1,7.9
408,Frank Ntilikina,PG,23,DAL,48,5,12.4,1.5,4,0.375,0.7,2.1,0.34,0.8,1.9,0.413,0.464,0.5,0.5,0.958,0.2,1.2,1.3,1.1,0.5,0.1,0.5,1.1,4.2
409,Jusuf Nurki?,C,27,POR,56,56,28.2,5.7,10.7,0.535,0.3,1,0.268,5.5,9.7,0.563,0.548,3.3,4.8,0.69,3,8.1,11.1,2.8,1.1,0.6,2.6,3.4,15
410,David Nwaba,SF,29,HOU,40,4,13.5,1.9,3.9,0.474,0.3,1.1,0.286,1.6,2.9,0.544,0.513,1,1.4,0.719,0.9,2.6,3.5,0.8,0.6,0.5,0.5,1.3,5
411,Jordan Nwora,SF,23,MIL,51,10,19.1,3.1,7.5,0.407,1.4,3.8,0.357,1.7,3.7,0.46,0.499,0.4,0.5,0.808,0.6,3,3.6,1,0.5,0.3,0.9,1.2,7.9
412,Royce O'Neale,SF,28,UTA,59,59,31.3,2.7,5.5,0.498,1.6,3.7,0.416,1.2,1.8,0.673,0.64,0.6,0.8,0.804,0.8,4.1,4.9,2.5,1.3,0.5,1,2.3,7.7
413,Semi Ojeleye,PF,27,TOT,25,0,13.6,0.9,3.2,0.288,0.5,1.8,0.289,0.4,1.4,0.286,0.369,0.5,0.6,0.75,1,1.4,2.4,0.2,0.2,0.2,0.3,1.1,2.8
413,Semi Ojeleye,PF,27,MIL,20,0,15.4,0.9,3.5,0.257,0.6,2.1,0.268,0.4,1.5,0.241,0.336,0.5,0.7,0.769,1.3,1.7,2.9,0.3,0.3,0.3,0.3,1.3,2.9
413,Semi Ojeleye,PF,27,LAC,5,0,6.2,1,2,0.5,0.4,0.8,0.5,0.6,1.2,0.5,0.6,0.4,0.6,0.667,0.2,0.2,0.4,0,0,0,0.6,0.4,2.8
